"H01","H02","H03","H04","H06","H13","H15","H17","H25","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2019","Y2020","Y2021"
"P1101","Agricultural survey","FBVLAND11","Agriculture, Hunting and related services","Land and buildings","South Africa","Current prices","R'000","Annually","75304727","80083237","81269559","80306717","80632026","81777165","82684257","91747764","104453019","109644552","129895833","139925494","142888035"
"P1101","Agricultural survey","FBVMOTOR11","Agriculture, Hunting and related services","Motor vehicles, plant, tractors, machinery and other transport","South Africa","Current prices","R'000","Annually","21086336","25276435","23503518","27114459","28963114","35783552","39018830","46833441","52884693","56604799","60695780","58614362","72671190"
"P1101","Agricultural survey","FBVOTH11","Agriculture, Hunting and related services","Other assets","South Africa","Current prices","R'000","Annually","11852335","12941734","14491941","8443584","6706484","5718619","5798070","8829283","10983460","13777991","24948891","22655820","25255859"
"P1101","Agricultural survey","BVTOTFAIR11","Agriculture, Hunting and related services","Total fair value of biological assets","South Africa","Current prices","R'000","Annually","","","","","","","18230727","23096582","28041700","30541456","33510871","40053478","44111683"
"P1101","Agricultural survey","BVANIMAL11","Agriculture, Hunting and related services","Fair value of animals","South Africa","Current prices","R'000","Annually","","","","","","","9626328","13834824","16248726","20024547","22351013","24367231","25067226"
"P1101","Agricultural survey","BVPLANTA11","Agriculture, Hunting and related services","Fair value of plantations (forestry, vineyards and orchards)","South Africa","Current prices","R'000","Annually","","","","","","","8604399","9261758","11792974","10516909","11159858","15686247","19044457"
"P1101","Agricultural survey","CAPTOTFAIR11","Agriculture, Hunting and related services","Total additions to biological assets","South Africa","Current prices","R'000","Annually","","","","","","","9878565","21766761","24622097","26044376","35342257","31158421","31606111"
"P1101","Agricultural survey","CAPANIMAL11","Agriculture, Hunting and related services","Additions to biological animals","South Africa","Current prices","R'000","Annually","","","","","","","9161312","20450353","23137127","24289509","32778630","27705517","27625278"
"P1101","Agricultural survey","CAPPLANTA11","Agriculture, Hunting and related services","Additions to plantations (forestry, vineyards and orchards)","South Africa","Current prices","R'000","Annually","","","","","","","717253","1316408","1484970","1754867","2563627","3452904","3980833"
"P1101","Agricultural survey","FMORT11","Agriculture, Hunting and related services","Mortgages","South Africa","Current prices","R'000","Annually","11904995","11551681","14263020","13758060","","","","","","","","",""
"P1101","Agricultural survey","FOTHMORE111","Agriculture, Hunting and related services","Other loans and debts (More than a year)","South Africa","Current prices","R'000","Annually","26570322","16687333","18649987","25535197","","","","","","","","",""
"P1101","Agricultural survey","FOTHLESS111","Agriculture, Hunting and related services","Other loans and debts (One year and less)","South Africa","Current prices","R'000","Annually","12433525","36185739","32558416","41219793","","","","","","","","",""
"P1101","Agricultural survey","FCOOP11","Agriculture, Hunting and related services","Loans and debts from: Cooperatives","South Africa","Current prices","R'000","Annually","5584752","9065973","9281305","","","","","","","","","",""
"P1101","Agricultural survey","FCOMMEC11","Agriculture, Hunting and related services","Loans and debts from: Commercial banks","South Africa","Current prices","R'000","Annually","19845893","25395060","28481318","","","","","","","","","",""
